City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
214,sola,0,FI,1554508326,92,62.78,33.01,3.36,29.36
215,gazanjyk,0,TM,1554507914,90,39.24,55.92,8.63,55.52
216,mizque,92,BO,1554508481,92,-17.94,48.45,2.93,-65.34
217,kenai,40,US,1554508325,44,60.55,44.01,18.34,-151.26
218,imbituba,75,BR,1554505200,83,-28.24,73.4,9.17,-48.67
219,bonavista,68,CA,1554507976,64,48.65,28.99,25.99,-53.11
220,asyut,0,EG,1554505200,58,27.18,57.2,14.99,31.19
221,khani,0,GE,1554507000,100,41.96,42.8,1.12,42.96
222,sao filipe,0,CV,1554508325,97,14.9,70.5,18.37,-24.5
223,tonota,48,BW,1554508488,42,-21.44,75.81,9.19,27.46
224,khatanga,0,RU,1554508364,76,71.98,13.17,17.69,102.47
225,makakilo city,1,US,1554508206,45,21.35,84.2,14.99,-158.09
226,dali,48,CN,1554508493,100,25.6,44.04,1.81,100.24
227,shirokiy,24,RU,1554508089,96,53.87,35.01,3.49,39.17
228,rio grande,76,BR,1554508498,92,-32.03,69.15,18.48,-52.1
229,klaksvik,32,FO,1554506400,86,62.23,41.0,5.82,-6.59
230,bridlington,48,GB,1554508442,93,54.08,44.01,5.82,-0.19
231,taoudenni,0,ML,1554508298,34,22.68,61.5,8.41,-3.98
232,tiassale,64,CI,1554508502,77,5.9,81.48,8.3,-4.83
233,payo,20,ID,1554508502,92,-3.75,72.66,3.15,103.64
234,buritis,48,BR,1554508505,87,-15.62,72.03,7.07,-46.42
235,halifax,20,CA,1554508208,29,44.65,35.6,9.17,-63.58
236,point pedro,8,LK,1554508307,100,9.82,80.4,5.73,80.23
237,sikonge,68,TZ,1554508505,99,-5.63,62.22,3.71,32.75
238,morristown,90,US,1554508222,72,36.21,64.4,2.37,-83.29
239,xingcheng,32,CN,1554508510,25,40.62,52.5,4.27,120.71
240,muborak,0,UZ,1554508511,96,39.25,50.61,2.82,65.15
241,avarua,0,CK,1554505200,69,-21.21,80.6,10.29,-159.78
242,coronel oviedo,92,PY,1554508514,81,-25.45,64.83,7.96,-56.44
243,bemidji,90,US,1554508237,81,47.48,44.6,4.16,-94.89
244,poiana stampei,20,RO,1554508395,78,47.31,28.99,1.01,25.13
245,marystown,0,CA,1554507951,100,47.17,28.99,26.53,-55.16
246,hailar,20,CN,1554508006,49,49.2,24.96,5.5,119.7
247,serenje,36,ZM,1554508517,88,-13.23,60.06,2.59,30.22
248,mbanza-ngungu,64,CD,1554508517,94,-5.25,71.58,2.71,14.87
249,tasiilaq,92,GL,1554504600,68,65.61,28.4,24.16,-37.64
250,salym,12,RU,1554508518,86,60.06,30.72,7.63,71.48
251,ribeira grande,20,PT,1554508519,95,38.52,61.41,18.81,-28.7
252,muzaffarabad,36,PK,1554508522,85,34.37,50.43,2.93,73.47
253,vanimo,44,PG,1554508333,100,-2.67,80.49,8.41,141.3
254,egvekinot,36,RU,1554508387,88,66.32,25.68,3.38,-179.17
255,yatou,40,CM,1554505200,94,3.63,78.8,1.12,9.81
256,worland,40,US,1554508252,25,44.02,69.8,14.99,-107.96
257,luena,20,AO,1554508561,92,-11.78,64.65,2.26,19.91
258,porto novo,48,BR,1554508561,91,-23.68,71.94,1.7,-45.44
259,hurricane,75,US,1554508215,36,37.18,71.6,13.87,-113.29
260,ilulissat,0,GL,1554504600,47,69.22,33.8,31.09,-51.1
261,hualmay,32,PE,1554508013,91,-11.1,67.98,5.39,-77.61
262,virginia beach,90,US,1554508256,82,36.85,59.0,5.82,-75.98
263,traralgon,0,AU,1554507904,80,-38.19,62.01,5.99,146.54
264,mobaye,0,CF,1554508566,46,4.33,78.6,6.62,21.18
265,karratha,0,AU,1554508567,31,-20.74,77.79,8.75,116.85
266,samarinda,76,ID,1554508567,97,-0.5,76.35,2.71,117.14
267,biak,0,ID,1554508567,90,-0.91,82.38,2.59,122.88
268,el carmen,40,AR,1554505200,93,-24.39,59.0,4.7,-65.26
269,rock sound,80,BS,1554508571,98,24.9,77.25,15.01,-76.2
270,emerald,0,AU,1554508088,64,-23.53,75.99,8.05,148.16
271,nome,90,US,1554508534,78,30.04,77.0,5.82,-94.42
272,antofagasta,0,CL,1554505200,82,-23.65,64.4,6.93,-70.4
273,svetlaya,56,RU,1554508574,84,46.54,35.31,4.27,138.33
274,thinadhoo,0,MV,1554508070,100,0.53,83.1,2.71,72.93
275,hailey,75,US,1554508020,61,43.52,46.4,6.93,-114.32
276,yagodnoye,64,RU,1554508575,83,62.52,22.89,2.93,149.63
277,westport,68,IE,1554508324,88,53.8,46.0,1.01,-9.52
278,safranbolu,8,TR,1554508575,85,41.25,38.28,2.37,32.69
279,san quintin,0,PH,1554508313,84,17.54,76.98,3.6,120.52
280,natitingou,12,BJ,1554508581,74,10.31,76.71,3.49,1.38
281,san cristobal,75,EC,1554507992,77,-0.39,60.8,6.93,-78.55
282,baoding,12,CN,1554508584,23,38.86,53.22,13.67,115.49
283,ihosy,32,MG,1554508584,92,-22.4,61.05,2.71,46.13
284,goderich,0,CA,1554508418,93,43.74,39.0,2.37,-81.71
285,astakos,90,GR,1554508398,87,38.54,57.2,12.75,21.08
286,sadiqabad,0,PK,1554508590,37,28.31,74.01,5.5,70.13
287,mumbwa,0,ZM,1554508593,73,-14.99,70.05,9.42,27.06
288,ippy,0,CF,1554508593,37,6.26,79.59,10.2,21.2
289,hobyo,92,SO,1554508595,87,5.35,79.68,9.19,48.53
290,barcelos,20,PT,1554508025,71,41.53,51.8,8.05,-8.62
291,pitkyaranta,0,RU,1554508597,68,61.57,19.38,2.71,31.48
292,luau,92,CD,1554508597,99,-10.7,65.82,2.37,22.23
293,salalah,20,OM,1554504600,74,17.01,80.6,4.7,54.1
294,fortuna,0,ES,1554508560,66,38.18,52.0,8.05,-1.13
295,san lorenzo,90,PY,1554505200,77,-25.34,66.2,14.99,-57.51
296,esperance,20,TT,1554508017,74,10.24,80.6,8.05,-61.45
297,bereda,40,ES,1554508436,87,43.27,46.99,11.41,-7.54
298,onega,68,RU,1554508426,83,63.91,28.65,5.95,38.09
299,skibbereen,90,IE,1554507000,93,51.55,42.8,10.29,-9.27
300,valparaiso,90,US,1554508476,76,41.47,57.0,3.49,-87.06
301,banjar,12,ID,1554508607,94,-7.37,72.39,3.94,108.54
302,oksfjord,0,NO,1554506400,58,70.24,28.4,11.41,22.35
303,helmond,75,NL,1554508591,87,51.48,48.0,4.7,5.66
304,laharpur,64,IN,1554508609,84,27.71,68.88,3.94,80.9
305,alekseyevsk,76,RU,1554508612,69,57.84,20.82,2.59,108.35
306,ammon,90,US,1554508251,66,43.47,51.8,12.75,-111.97
307,pangnirtung,80,CA,1554508616,76,66.15,17.4,4.61,-65.72
308,norsup,88,VU,1554508617,91,-16.07,83.1,5.39,167.38
309,esna,24,RO,1554508619,91,45.2,38.73,5.17,27.57
310,piravam,40,IN,1554505200,88,9.88,80.6,2.24,76.49
311,whakatane,24,NZ,1554508217,55,-37.96,66.99,4.0,176.99
312,rio tuba,0,PH,1554508623,91,8.51,81.57,2.15,117.43
313,luderitz,24,NA,1554508625,76,-26.65,59.97,17.02,15.16
314,aguimes,75,ES,1554508533,72,27.91,63.0,17.22,-15.45
315,muana,100,BR,1554508626,97,-1.53,79.23,8.19,-49.22
316,tavda,0,RU,1554508627,80,58.04,26.58,8.97,65.27
317,dudinka,68,RU,1554508628,92,69.41,22.35,18.59,86.18
318,shaunavon,68,CA,1554508631,37,49.65,55.65,7.85,-108.41
319,golden,90,CA,1554505200,37,51.3,55.4,9.17,-116.96
320,zhigansk,44,RU,1554508412,79,66.77,25.68,5.61,123.37
321,narsaq,75,GL,1554504600,44,60.91,37.4,33.33,-46.05
322,berdigestyakh,0,RU,1554508634,66,62.1,28.47,4.94,126.7
323,kudahuvadhoo,0,MV,1554508636,100,2.67,83.01,3.94,72.89
324,ambon,0,FR,1554508626,100,47.55,43.0,8.05,-2.56
325,watrous,24,CA,1554508638,77,51.67,41.43,10.87,-105.46
326,datong,76,CN,1554508639,34,40.09,44.13,4.38,113.3
327,puerto penasco,0,MX,1554508002,79,31.32,68.0,15.99,-113.53
